District,Total Population,Total housing units,Biden 20 Votes,Trump 20 Votes,2020 Votes,Clinton 16 Votes,Trump 16 Votes,2016 Votes,2012 Margin,Obama Votes,McCain Votes,High school,"Some college, no degree",Associates degree,Bachelors degree,Graduate or professional degree,Median household income,Mean household income,Occupied housing units,Vacant housing units,Median house value,Median gross rent,Urban Population,Suburban Population,Rural Population,Total Respondents,Employed,Unemployed,Not in labor force,Driving alone,Carpools and taxis,Public transportation (excluding taxis),Walked,Other means,Worked from home,Mean travel time to work (minutes),Median age,One race,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Latino
AK-1,732673,327889,153778,189951,343729,116454,163387,279841,14.64%,123594,193841,135473,118250,40276,101422,57868,77845,100519,271311,56578,304900,1259,156932,344290,191858,693081,327953,24603,194867,227650,38096,2982,23298,16395,35462,19.8,35.6,635040,435004,22003,100397,47347,11171,19118,97633,52291
AL-1,727212,349120,115566,208118,323684,101839,189526,291365,24.35%,114661,180257,167168,109035,46270,77364,51583,52278,72942,284318,64802,187800,944,146823,280739,237240,664802,314029,19427,247981,252238,20665,958,1471,3289,28736,26.6,41,698260,472578,195978,5074,11190,0,13440,28952,25346
AL-2,716212,330863,111275,205438,316713,96668,193978,290646,26.89%,102924,196709,163181,98722,44427,75122,46523,50597,71316,278370,52493,156300,829,147052,261707,288772,697531,297871,17321,245660,256715,19641,389,2318,3722,18647,24.1,39,681561,433395,222672,1938,12662,152,10742,34651,29072
AL-3,721289,337033,102771,210791,313562,88876,187604,276480,26.62%,101451,176069,155412,105303,44506,65943,47422,49465,65635,278736,58297,151800,781,110760,242423,322977,676159,294429,17322,269472,235963,24235,953,3809,4215,22482,26,40,687002,489586,176643,2005,9644,0,9124,34287,22960
AL-4,723070,326876,60726,262334,323060,53761,235439,289200,49.00%,75524,206004,177441,99325,50678,59397,35708,50227,68139,271053,55823,146200,705,89770,218895,393031,701696,308394,16808,249364,253264,29722,538,2856,1320,15877,25.2,40.5,686296,596818,49282,7945,4083,43,28125,36774,52766
AL-5,729384,318479,123036,216609,339645,91722,189922,281644,30.08%,100526,175503,123705,103149,42015,111362,74518,68269,93771,294256,24223,222500,889,101205,317679,221933,640816,341783,13291,234470,257368,23614,151,2716,3959,50079,24.4,40.5,673865,522283,121640,3937,10312,1132,14561,55519,41789
AL-6,706497,306526,122033,228506,350539,91781,215098,306879,43.22%,87999,219671,124276,89725,37863,123203,75444,69221,97186,279148,27378,237500,1083,99985,375546,184796,660328,343675,14868,205396,261958,24232,257,1993,3200,47979,27,39.6,671122,510439,129777,2934,11824,288,15860,35375,36253
AL-7,716213,344719,214217,109374,323591,204960,107062,312022,-33.72%,230394,112333,168102,100403,37269,59885,43292,41736,61437,281678,63041,130500,856,276901,227853,226267,731020,290734,24771,258798,225829,23240,1732,4900,3391,24967,23.9,37.5,691160,256782,409114,997,9098,46,15123,25053,29248
AR-1,753369,349100,80516,197832,278348,82710,178526,261236,25.19%,108816,160327,186515,117420,45298,62609,31964,45517,62674,288862,60238,130500,726,131294,230694,400432,762420,303635,25297,266373,238724,31484,335,4913,3746,18679,22.5,39.8,703252,560778,123338,3650,2509,1215,11762,50117,29722
AR-2,758976,352780,140254,183964,324218,120843,166843,287686,16.77%,122132,161721,149516,111847,41983,102557,68813,56091,79819,314244,38536,182700,898,180479,321818,212080,714377,351693,18945,231169,274001,31295,545,3399,2840,38707,22.5,38.2,717179,525443,159891,1441,11679,106,18619,41797,39942
AR-3,766477,320927,110479,180794,291273,82476,156678,239154,32.95%,76409,138931,160913,95521,34876,96784,54710,64608,87464,289283,31644,214700,917,135412,298791,209640,643843,364364,15684,220988,271831,28566,602,4082,3307,52250,21,35.6,599338,500688,20872,8313,25656,8299,35510,167139,125006
AR-4,747069,357961,92683,198057,290740,94416,182697,277113,24.26%,114815,177012,198118,110447,39385,62187,35410,45508,62030,291286,66675,127200,709,142783,213412,439639,795834,303819,17560,277903,247595,23870,993,5240,3164,17749,23.2,40.6,706868,528938,143301,3654,4084,2194,24697,40201,52971
AZ-1,796924,399272,231828,225000,456828,165645,181468,347113,17.15%,146868,189736,93055,120117,45751,184171,126141,86002,133562,357279,41993,552900,1433,223278,480065,29736,733079,418231,21122,234589,248238,20938,2706,5559,8632,124472,22.3,44.1,691540,569414,29858,14924,35142,2511,39691,105384,136717
